Ljava/lang/System;->out Ljava/io/PrintStream;
Ljava/io/PrintStream;->println
Landroid/content/Intent;->parseUri
Landroid/content/Intent;->setAction
Landroid/content/Intent;->addFlags
Ljava/lang/reflect/Method;->invoke
Ljava/lang/Class;->getMethod
Ljava/lang/Boolean;->toString
Landroid/os/Process;->myPid
Landroid/os/Process;->killProcess
Ljava/lang/Boolean;->valueOf
Landroid/content/pm/PackageManager;->getPackageInfo
Landroid/content/pm/PackageManager;->getApplicationInfo
Landroid/content/pm/ApplicationInfo;->flags I
Landroid/content/Intent;->setClassName
Landroid/content/pm/PackageManager;->getActivityInfo
Landroid/content/pm/ActivityInfo;->metaData Landroid/os/Bundle;
Landroid/os/Bundle;->get
Ljava/lang/StringBuilder;->append
Ljava/lang/StringBuilder;->toString
Ljava/lang/Class;->forName
Ljava/io/File;->getAbsolutePath
Landroid/content/Context;->getClassLoader
Ldalvik/system/DexClassLoader;->loadClass
Landroid/app/AlertDialog$Builder;->setTitle
Landroid/app/AlertDialog$Builder;->setMessage
Landroid/app/AlertDialog$Builder;->setPositiveButton
Landroid/app/AlertDialog$Builder;->setOnCancelListener
Landroid/app/AlertDialog$Builder;->show
Ljava/lang/Boolean;->TYPE Ljava/lang/Class;
Landroid/app/Activity;->dispatchGenericMotionEvent
Landroid/app/Activity;->dispatchKeyEvent
Landroid/app/Activity;->finishActivityFromChild
Ljava/lang/Integer;->TYPE Ljava/lang/Class;
Ljava/lang/Integer;->valueOf
Landroid/app/Activity;->finishFromChild
Landroid/app/Activity;->onApplyThemeResource
Landroid/app/Activity;->onAttachedToWindow
Landroid/app/Activity;->onBackPressed
Landroid/app/Activity;->onChildTitleChanged
Landroid/app/Activity;->onConfigurationChanged
Landroid/app/Activity;->onContentChanged
Landroid/app/Activity;->onContextItemSelected
Ljava/lang/Boolean;->booleanValue
Landroid/app/Activity;->onContextMenuClosed
Landroid/app/Activity;->onCreate
Ljava/util/Date;->getTime
Landroid/util/Log;->i
Landroid/app/Activity;->onCreateContextMenu
Landroid/app/Activity;->onCreateDescription
Landroid/app/Activity;->onCreateDialog
Landroid/app/Activity;->onCreateOptionsMenu
Landroid/app/Activity;->onCreatePanelMenu
Landroid/app/Activity;->onCreatePanelView
Landroid/app/Activity;->onCreateThumbnail
Landroid/app/Activity;->onCreateView
Landroid/app/Activity;->onDestroy
Landroid/app/Activity;->onDetachedFromWindow
Landroid/app/Activity;->onKeyDown
Landroid/app/Activity;->onKeyLongPress
Landroid/app/Activity;->onKeyMultiple
Landroid/app/Activity;->onKeyUp
Landroid/app/Activity;->onMenuItemSelected
Landroid/app/Activity;->onMenuOpened
Landroid/app/Activity;->onNewIntent
Landroid/app/Activity;->onOptionsItemSelected
Landroid/app/Activity;->onOptionsMenuClosed
Landroid/app/Activity;->onPanelClosed
Landroid/app/Activity;->onPause
Landroid/app/Activity;->onPostCreate
Landroid/app/Activity;->onPostResume
Landroid/app/Activity;->onPrepareDialog
Landroid/app/Activity;->onPrepareOptionsMenu
Landroid/app/Activity;->onPreparePanel
Landroid/app/Activity;->onRestart
Landroid/app/Activity;->onRestoreInstanceState
Landroid/app/Activity;->onResume
Landroid/app/Activity;->onRetainNonConfigurationInstance
Landroid/app/Activity;->onSaveInstanceState
Landroid/app/Activity;->onSearchRequested
Landroid/app/Activity;->onStart
Landroid/app/Activity;->onStop
Landroid/app/Activity;->onTitleChanged
Landroid/app/Activity;->onTouchEvent
Landroid/app/Activity;->onTrackballEvent
Landroid/app/Activity;->onUserInteraction
Landroid/app/Activity;->onUserLeaveHint
Landroid/app/Activity;->onWindowAttributesChanged
Landroid/app/Activity;->onWindowFocusChanged
Ljava/io/StringWriter;->toString
Ljava/lang/Float;->valueOf
Ljava/lang/Number;->floatValue
Ljava/lang/String;->trim
Ljava/lang/String;->equals
Ljava/util/List;->add
Ljava/util/List;->addAll
Ljava/util/Collections;->reverse
Ljava/util/Map;->put
Ljava/lang/String;->format
Ljava/lang/String;->clone
Ljava/io/Writer;->write
Ljava/io/Writer;->append
Ljava/lang/System;->arraycopy
Ljava/lang/String;->length
Ljava/lang/String;->charAt
Ljava/io/Writer;->close
Ljava/io/Writer;->flush
Ljava/lang/Double;->isNaN
Ljava/lang/Double;->isInfinite
Ljava/lang/Double;->toString
Ljava/lang/Long;->toString
Ljava/lang/Object;->toString
Ljava/lang/String;->toCharArray
Ljava/io/Reader;->read
Ljava/io/Reader;->close
Ljava/lang/Double;->parseDouble
Ljava/lang/Integer;->parseInt
Ljava/lang/Long;->parseLong
Ljava/lang/Object;->getClass
Ljava/lang/Class;->getSimpleName
Ljava/lang/Enum;->valueOf
Ljava/lang/Object;->hashCode
Ljava/lang/String;->valueOf
Ljava/lang/Class;->isAssignableFrom
Ljava/lang/reflect/Field;->get
Ljava/lang/reflect/Field;->getAnnotation
Ljava/lang/reflect/Field;->getAnnotations
Ljava/util/Arrays;->asList
Ljava/lang/reflect/Field;->getType
Ljava/lang/reflect/Field;->getGenericType
Ljava/lang/reflect/Field;->getDeclaringClass
Ljava/lang/reflect/Field;->getName
Ljava/lang/reflect/Field;->getModifiers
Ljava/lang/reflect/Field;->isSynthetic
Ljava/lang/String;->substring
Ljava/lang/Character;->isUpperCase
Ljava/lang/StringBuilder;->length
Ljava/lang/Character;->isLetter
Ljava/lang/Character;->toUpperCase
Ljava/util/Collections;->emptyMap
Ljava/util/Collections;->emptyList
Ljava/util/Collections;->synchronizedMap
Ljava/lang/Long;->TYPE Ljava/lang/Class;
Ljava/lang/Double;->TYPE Ljava/lang/Class;
Ljava/lang/Float;->TYPE Ljava/lang/Class;
Ljava/util/Collections;->unmodifiableList
Ljava/lang/Class;->cast
Ljava/util/Map;->get
Ljava/lang/ThreadLocal;->get
Ljava/lang/ThreadLocal;->set
Ljava/util/List;->iterator
Ljava/util/Iterator;->hasNext
Ljava/util/Iterator;->next
Ljava/util/Map;->remove
Ljava/lang/ThreadLocal;->remove
Ljava/lang/String;->toLowerCase
Ljava/lang/Short;->TYPE Ljava/lang/Class;
Ljava/lang/Byte;->TYPE Ljava/lang/Class;
Ljava/lang/Character;->TYPE Ljava/lang/Class;
Ljava/lang/Number;->longValue
Ljava/lang/Number;->doubleValue
Ljava/lang/Object;->equals
Ljava/lang/Boolean;->parseBoolean
Ljava/lang/Number;->byteValue
Ljava/lang/Byte;->parseByte
Ljava/lang/Float;->parseFloat
Ljava/lang/Number;->intValue
Ljava/lang/Number;->shortValue
Ljava/lang/Short;->parseShort
Ljava/lang/Double;->doubleToLongBits
Ljava/lang/Character;->charValue
Ljava/lang/Double;->valueOf
Ljava/lang/Class;->getName
Ljava/lang/Class;->getGenericSuperclass
Ljava/lang/reflect/ParameterizedType;->getActualTypeArguments
Ljava/lang/reflect/GenericArrayType;->getGenericComponentType
Ljava/lang/Class;->isArray
Ljava/lang/Class;->getComponentType
Ljava/lang/Class;->getTypeParameters
Ljava/lang/reflect/TypeVariable;->getName
Ljava/lang/Class;->getGenericInterfaces
Ljava/lang/reflect/ParameterizedType;->getRawType
Ljava/lang/reflect/Constructor;->newInstance
Ljava/lang/reflect/InvocationTargetException;->getTargetException
Ljava/lang/reflect/ParameterizedType;->getOwnerType
Ljava/lang/reflect/WildcardType;->getUpperBounds
Ljava/lang/reflect/WildcardType;->getLowerBounds
Ljava/lang/Class;->isPrimitive
Ljava/lang/reflect/TypeVariable;->getGenericDeclaration
Ljava/util/Arrays;->equals
Ljava/lang/Class;->isInterface
Ljava/lang/Class;->getInterfaces
Ljava/lang/Class;->getSuperclass
Ljava/lang/reflect/Array;->newInstance
Ljava/lang/reflect/Type;->clone
Ljava/lang/Class;->getDeclaredField
Ljava/lang/reflect/Field;->setAccessible
Ljava/lang/Class;->getDeclaredMethod
Ljava/lang/reflect/Method;->setAccessible
Ljava/lang/Integer;->intValue
Ljava/lang/StringBuffer;->toString
Ljava/lang/Class;->getEnumConstants
Ljava/lang/Enum;->name
Ljava/lang/Class;->getField
Ljava/util/UUID;->fromString
Ljava/util/UUID;->toString
Ljava/util/Locale;->US Ljava/util/Locale;
Ljava/text/DateFormat;->getDateTimeInstance
Ljava/util/TimeZone;->getTimeZone
Ljava/text/DateFormat;->setTimeZone
Ljava/text/DateFormat;->parse
Ljava/text/DateFormat;->format
Ljava/util/Collection;->add
Ljava/util/Collection;->iterator
Ljava/net/URL;->toExternalForm
Ljava/util/Set;->iterator
Ljava/util/Map$Entry;->getKey
Ljava/util/Map$Entry;->getValue
Ljava/lang/Long;->valueOf
Ljava/util/Map;->entrySet
Ljava/util/Map;->size
Ljava/util/List;->size
Ljava/util/List;->get
Ljava/lang/Class;->isEnum
Ljava/lang/Short;->valueOf
Ljava/util/StringTokenizer;->hasMoreElements
Ljava/util/StringTokenizer;->nextToken
Ljava/util/Locale;->toString
Ljava/util/List;->isEmpty
Ljava/util/List;->remove
Ljava/util/Calendar;->get
Ljava/lang/Byte;->valueOf
Ljava/lang/Class;->getDeclaredFields
Ljava/lang/reflect/Field;->set
Ljava/lang/reflect/Array;->set
Ljava/lang/reflect/Array;->getLength
Ljava/lang/reflect/Array;->get
Ljava/util/List;->clear
Ljava/net/URI;->toASCIIString
Ljava/util/Map;->values
Ljava/net/InetAddress;->getByName
Ljava/net/InetAddress;->getHostAddress
Ljava/util/BitSet;->set
Ljava/util/BitSet;->length
Ljava/util/BitSet;->get
Ljava/lang/Character;->valueOf
Ljava/math/BigDecimal;->intValue
Ljava/math/BigDecimal;->longValue
Ljava/lang/Comparable;->compareTo
Ljava/util/EnumSet;->noneOf
Ljava/lang/Class;->desiredAssertionStatus
Ljava/lang/Math;->max
Ljava/util/Comparator;->compare
Ljava/lang/Class;->getEnclosingClass
Ljava/util/Arrays;->hashCode
Ljava/lang/Appendable;->append
Ljava/lang/Class;->isAnonymousClass
Ljava/lang/Class;->isLocalClass
Ljava/lang/Class;->isMemberClass
Ljava/lang/Class;->getModifiers
Ljava/lang/Object;->clone
Ljava/lang/Class;->getAnnotation
Ljava/lang/Void;->TYPE Ljava/lang/Class;
Ljava/util/Collections;->unmodifiableMap
Ljava/util/Map;->containsKey
Ljava/lang/Class;->getDeclaredConstructor
Ljava/lang/reflect/Constructor;->isAccessible
Ljava/lang/reflect/Constructor;->setAccessible
