Landroid/os/Build$VERSION;->SDK_INT I
Landroid/animation/ValueAnimator;->getInterpolator
Landroid/view/View;->animate
Landroid/view/ViewPropertyAnimator;->setInterpolator
Landroid/os/Process;->myPid
Landroid/os/Process;->myUid
Landroid/content/Context;->checkPermission
Landroid/content/Context;->getResources
Landroid/content/res/Resources;->getColor
Landroid/content/res/Resources;->getDrawable
Landroid/content/res/Resources;->getValue
Landroid/util/TypedValue;->resourceId I
Landroid/content/Context;->getExternalCacheDir
Landroid/content/Context;->getExternalFilesDir
Landroid/app/Activity;->finish
Landroid/app/Activity;->startActivityForResult
Landroid/app/Activity;->invalidateOptionsMenu
Landroid/app/Activity;->finishAffinity
Landroid/view/View;->getViewTreeObserver
Landroid/view/ViewTreeObserver;->removeOnPreDrawListener
Ljava/util/ArrayList;->remove
Ljava/util/ArrayList;->clear
Landroid/util/SparseArray;->size
Landroid/util/SparseArray;->keyAt
Landroid/util/SparseArray;->get
Ljava/util/ArrayList;->size
Ljava/util/ArrayList;->get
Landroid/util/SparseArray;->remove
Ljava/lang/Object;->getClass
Ljava/lang/Class;->getModifiers
Ljava/lang/Class;->isAnonymousClass
Ljava/lang/reflect/Modifier;->isPublic
Ljava/lang/Class;->isMemberClass
Ljava/lang/reflect/Modifier;->isStatic
Ljava/lang/StringBuilder;->append
Ljava/lang/Class;->getCanonicalName
Ljava/lang/StringBuilder;->toString
Ljava/lang/String;->equals
Landroid/view/ViewTreeObserver;->addOnPreDrawListener
Landroid/util/SparseArray;->put
Landroid/util/Log;->v
Ljava/io/PrintWriter;->print
Ljava/io/PrintWriter;->println
Ljava/lang/Integer;->toHexString
Ljava/util/ArrayList;->contains
Ljava/util/ArrayList;->add
Ljava/lang/System;->identityHashCode
Landroid/os/Parcel;->createIntArray
Landroid/os/Parcel;->readInt
Landroid/os/Parcel;->readString
Landroid/text/TextUtils;->CHAR_SEQUENCE_CREATOR Landroid/os/Parcelable$Creator;
Landroid/os/Parcelable$Creator;->createFromParcel
Landroid/os/Parcel;->createStringArrayList
Landroid/os/Parcel;->writeIntArray
Landroid/os/Parcel;->writeInt
Landroid/os/Parcel;->writeString
Landroid/text/TextUtils;->writeToParcel
Landroid/os/Parcel;->writeStringList
Landroid/view/LayoutInflater;->getFactory
Landroid/view/LayoutInflater;->setFactory
Landroid/app/Activity;->onCreate
Landroid/app/Activity;->onCreateView
Landroid/app/Activity;->startIntentSenderForResult
Ljava/lang/Class;->getMethod
Ljava/lang/reflect/Method;->setAccessible
Ljava/lang/reflect/Method;->invoke
Landroid/util/Log;->i
Landroid/os/Bundle;->getBinder
Landroid/content/Context;->getClassLoader
Ljava/lang/ClassLoader;->loadClass
Ljava/lang/Class;->newInstance
Ljava/lang/Class;->getClassLoader
Landroid/os/Bundle;->setClassLoader
Ljava/lang/Class;->isAssignableFrom
Ljava/lang/Object;->equals
Ljava/lang/Boolean;->booleanValue
Ljava/lang/Object;->hashCode
Landroid/os/Bundle;->putParcelable
Landroid/os/Bundle;->getParcelable
Landroid/view/View;->restoreHierarchyState
Landroid/app/Dialog;->dismiss
Landroid/app/Dialog;->getContext
Landroid/content/Context;->getSystemService
Landroid/view/View;->getParent
Landroid/app/Dialog;->setContentView
Landroid/app/Dialog;->setOwnerActivity
Landroid/app/Dialog;->setCancelable
Landroid/app/Dialog;->setOnCancelListener
Landroid/app/Dialog;->setOnDismissListener
Landroid/os/Bundle;->getBundle
Landroid/app/Dialog;->onRestoreInstanceState
Landroid/os/Bundle;->getInt
Landroid/os/Bundle;->getBoolean
Landroid/app/Dialog;->onSaveInstanceState
Landroid/os/Bundle;->putBundle
Landroid/os/Bundle;->putInt
Landroid/os/Bundle;->putBoolean
Landroid/app/Dialog;->show
Landroid/app/Dialog;->hide
Landroid/app/Dialog;->getWindow
Landroid/view/Window;->addFlags
Landroid/app/Dialog;->requestWindowFeature
Landroid/view/View;->findViewById
Landroid/os/Parcel;->readBundle
Landroid/os/Parcel;->writeBundle
Landroid/os/Message;->what I
Landroid/os/Handler;->handleMessage
Landroid/content/Context;->startActivity
Landroid/view/LayoutInflater;->cloneInContext
Landroid/view/Window;->getAttributes
Landroid/view/WindowManager$LayoutParams;->windowAnimations I
Landroid/view/Window;->peekDecorView
Landroid/view/ViewGroup;->getChildCount
Landroid/view/ViewGroup;->getChildAt
Ljava/lang/Class;->getName
Landroid/view/View;->getVisibility
Landroid/view/View;->isFocusable
Landroid/view/View;->isEnabled
Landroid/view/View;->willNotDraw
Landroid/view/View;->isHorizontalScrollBarEnabled
Landroid/view/View;->isVerticalScrollBarEnabled
Landroid/view/View;->isClickable
Landroid/view/View;->isLongClickable
Landroid/view/View;->isFocused
Landroid/view/View;->isSelected
Landroid/view/View;->isPressed
Landroid/view/View;->getLeft
Landroid/view/View;->getTop
Landroid/view/View;->getRight
Landroid/view/View;->getBottom
Landroid/view/View;->getId
Landroid/view/View;->getResources
Landroid/content/res/Resources;->getResourcePackageName
Landroid/content/res/Resources;->getResourceTypeName
Landroid/content/res/Resources;->getResourceEntryName
Landroid/os/Handler;->removeMessages
Landroid/view/Window;->getDecorView
Landroid/util/Log;->w
